Series,Shot,Year
Trinity,Trinity,1945
Alberta,Little Boy,1945
Alberta,Fat Man,1945
Crossroads,Able,1946
Crossroads,Baker,1946
Sandstone,X-ray,1948
Sandstone,Yoke,1948
Sandstone,Zebra,1948
Ranger,Able,1951
Ranger,Baker,1951
Ranger,Easy,1951
Ranger,Baker-2,1951
Ranger,Fox,1951
Greenhouse,Dog,1951
Greenhouse,Easy,1951
Greenhouse,George,1951
Greenhouse,Item,1951
Buster,Able,1951
Buster,Baker,1951
Buster,Charlie,1951
Buster,Dog,1951
Buster,Easy,1951
Jangle,Sugar,1951
Jangle,Uncle,1951
Tumbler,Able,1952
Tumbler,Baker,1952
Tumbler,Charlie,1952
Snapper,Dog,1952
Snapper,Easy,1952
Snapper,Fox,1952
Snapper,George,1952
Snapper,How,1952
Ivy,Mike,1952
Ivy,King,1952
Upshot-Knothole,Annie,1953
Upshot-Knothole,Nancy,1953
Upshot-Knothole,Ruth,1953
Upshot-Knothole,Dixie,1953
Upshot-Knothole,Ray,1953
Upshot-Knothole,Badger,1953
Upshot-Knothole,Simon,1953
Upshot-Knothole,Encore,1953
Upshot-Knothole,Harry,1953
Upshot-Knothole,Grable,1953
Upshot-Knothole,Climax,1953
Castle,Bravo,1954
Castle,Romeo,1954
Castle,Koon,1954
Castle,Union,1954
Castle,Yankee,1954
Castle,Nectar,1954
Teapot,Wasp,1955
Teapot,Moth,1955
Teapot,Tesla,1955
Teapot,Turk,1955
Teapot,Hornet,1955
Teapot,Bee,1955
Teapot,Ess,1955
Teapot,Apple-1,1955
Teapot,Wasp Prime,1955
Teapot,HA (High Altitude),1955
Teapot,Post,1955
Teapot,MET (Military Effects T,1955
Teapot,Apple-2,1955
Wigwam,Wigwam,1955
Teapot,Zucchini,1955
Project 56,Project 56 No. 1,1955
Project 56,Project 56 No. 2,1955
Project 56,Project 56 No. 3,1955
Project 56,Project 56 No. 4,1956
Redwing,Lacrosse,1956
Redwing,Cherokee,1956
Redwing,Zuni,1956
Redwing,Yuma,1956
Redwing,Erie,1956
Redwing,Seminole,1956
Redwing,Flathead,1956
Redwing,Blackfoot,1956
Redwing,Kickapoo,1956
Redwing,Osage,1956
Redwing,Inca,1956
Redwing,Dakota,1956
Redwing,Mohawk,1956
Redwing,Apache,1956
Redwing,Navajo,1956
Redwing,Tewa,1956
Redwing,Huron,1956
Project 57,Project 57 No. 1,1957
Plumbbob,Boltzmann,1957
Plumbbob,Franklin,1957
Plumbbob,Lassen,1957
Plumbbob,Wilson,1957
Plumbbob,Priscilla,1957
Plumbbob,Coulomb-A,1957
Plumbbob,Hood,1957
Plumbbob,Diablo,1957
Plumbbob,John,1957
Plumbbob,Kepler,1957
Plumbbob,Owens,1957
Plumbbob,Pascal-A,1957
Plumbbob,Stokes,1957
Plumbbob,Saturn,1957
Plumbbob,Shasta,1957
Plumbbob,Doppler,1957
Plumbbob,Pascal-B,1957
Plumbbob,Franklin Prime,1957
Plumbbob,Smoky,1957
Plumbbob,Galileo,1957
Plumbbob,Wheeler,1957
Plumbbob,Coulomb-B,1957
Plumbbob,Laplace,1957
Plumbbob,Fizeau,1957
Plumbbob,Newton,1957
Plumbbob,Rainier,1957
Plumbbob,Whitney,1957
Plumbbob,Charleston,1957
Plumbbob,Morgan,1957
Project 58,Pascal-C,1957
Project 58,Coulomb-C,1957
Project 58A,Venus,1958
Project 58A,Uranus,1958
Hardtack I,Yucca,1958
Hardtack I,Cactus,1958
Hardtack I,Fir,1958
Hardtack I,Butternut,1958
Hardtack I,Koa,1958
Hardtack I,Wahoo,1958
Hardtack I,Holly,1958
Hardtack I,Nutmeg,1958
Hardtack I,Yellowwood,1958
Hardtack I,Magnolia,1958
Hardtack I,Tobacco,1958
Hardtack I,Sycamore,1958
Hardtack I,Rose,1958
Hardtack I,Umbrella,1958
Hardtack I,Maple,1958
Hardtack I,Aspen,1958
Hardtack I,Walnut,1958
Hardtack I,Linden,1958
Hardtack I,Redwood,1958
Hardtack I,Elder,1958
Hardtack I,Oak,1958
Hardtack I,Hickory,1958
Hardtack I,Sequoia,1958
Hardtack I,Cedar,1958
Hardtack I,Dogwood,1958
Hardtack I,Poplar,1958
Hardtack I,Scaevola,1958
Hardtack I,Pisonia,1958
Hardtack I,Juniper,1958
Hardtack I,Olive,1958
Hardtack I,Pine,1958
Newsreel,Teak,1958
Hardtack I,Quince,1958
Newsreel,Orange,1958
Hardtack I,Fig,1958
Argus,Argus I,1958
Argus,Argus II,1958
Argus,Argus III,1958
Hardtack II,Otero,1958
Hardtack II,Bernalillo,1958
Hardtack II,Eddy,1958
Hardtack II,Luna,1958
Hardtack II,Mercury,1958
Hardtack II,Valencia,1958
Hardtack II,Mars,1958
Hardtack II,Mora,1958
Hardtack II,Hidalgo,1958
Hardtack II,Colfax,1958
Hardtack II,Tamalpais,1958
Hardtack II,Quay,1958
Hardtack II,Lea,1958
