COUNTA of Shot,Year,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Series,1945,1946,1948,1951,1952,1953,1954,1955,1956,1957,1958,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,Grand Total
Alberta,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Anvil,,,,,,,,,,,,,,,,,,,,,,,,,,7,13,,,,,,,,,,,,,,,,,20
Aqueduct,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4,9,,,13
Arbor,,,,,,,,,,,,,,,,,,,,,,,,8,12,,,,,,,,,,,,,,,,,,,20
Argus,,,,,,,,,,,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3
Bedrock,,,,,,,,,,,,,,,,,,,,,,,,,13,16,,,,,,,,,,,,,,,,,,29
Bowline,,,,,,,,,,,,,,,,,,,34,24,,,,,,,,,,,,,,,,,,,,,,,,58
Buster,,,,5,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5
Castle,,,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6
Charioteer,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5,11,,,,,,,16
Cornerstone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,11,,,,17
Cresset,,,,,,,,,,,,,,,,,,,,,,,,,,,,6,17,,,,,,,,,,,,,,,23
Crossroads,,2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2
Crosstie,,,,,,,,,,,,,,,,,,19,38,,,,,,,,,,,,,,,,,,,,,,,,,57
Dominic I,,,,,,,,,,,,,31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31
Emery,,,,,,,,,,,,,,,,,,,,,19,5,,,,,,,,,,,,,,,,,,,,,,24
