YEAR (start),Date Duration,OperationName,Unit(s) – Description,Location,VC–NVAKIA's,Allied KIA's
1964,64 – 65,Operation DeSoto I[1],US Navy andRepublic of Vietnam Navyoperation along the coast ofNorth Vietnamto provoke coastal radar installations so electronic intelligence (ELINT) ships could record the resulting transmissions,South China Sea,,
1964,Jan 5,Unnamed[2],ARVN operation supported by U.S. aircraft to encircle a Vietcong battalion,Long An Province,,
1964,Jan 18,Unnamed[3],"115 helicopters carry 1,100 ARVN troops in the largest air assault of the war to date","north ofBiên Hòa,Long Khánh Province",,
1964,Apr 18,Operation Lam Son 115[4],ARVN32nd Ranger BattalionandHMM-364operation,A Shau Valley,,
1964,Apr 27 – May 25,Operation Quyet Thang 202[5],ARVN andHMM-364air assault,"Do Xa area, 46 km west ofQuảng Ngãi, border ofQuảng NgãiandKon Tum Provinces",62,23
1964,May 4,Operation Chuong Duong 10[6],ARVN operation,PleikuProvince,,
1964,May 15 – Oct 1,Operation Leaping Lena[7],"ARVN,CIDGand5th Special Forceslong-range patrolling to provide the groundwork for the formation of a combined American-South Vietnamese special reconnaissance unit capable of conducting the most hazardous and critical missions inside the country as required byMACVand the Vietnamese Joint General Staff. RenamedProject DELTAin October 1964",throughout South Vietnam,,
1964,May 19,Operation Yankee Team[1],USAF reconnaissance,Laos,,
1964,May 24,Unnamed[6],ARVN operation,"Can Giao,Gia Định Province",,
1964,May 29,Operation Dan Chi 132[6],ARVN operation,Chuong Thien,,
1964,May 30,Operation Chinh Nghia[6],ARVN operation,"14 km southeast ofBiên Hòa,Biên Hòa Province",,
1964,May 31,Operation Quyet Thang 303[6],ARVN operation,"40 km northeast ofToumorong,Kon Tum Province",,
1964,Jun 2,Unnamed[6],ARVN operation,"northwest ofPhuoc Vinh,Tây Ninh Province",,
1964,Jun 16 – Jul 12,Operation Quyet Thang 404[6],ARVN operation,Phú Yên Province,,
1964,Jun 17,Operation 33-64[6],ARVN operation,"Rung Sat Special Zone,Gia Định Province",,
1964,Jul 9,Unnamed[6],ARVN operation,"13 km southeast ofThu Duc,Gia Định Province",,
1964,Jul 10,Operation Chinh Nghia 36[6],ARVN operation,"6 km south ofDuc Hoa,Hậu Nghĩa Province",,
1964,Jul 14 – 16,Operation Quang Ngai 16[6],ARVN operation,"14 km west-southwest ofSon Tinh,Quảng Ngãi Province",,
1964,Jul 23 - 30,Operation Le Loi 9[6],ARVN operation,"24 km southwest ofAn Tuc,Pleiku Province",,
1964,Jul 26,Unnamed[6],ARVN operation,"46 km east ofLac Thien,Darlac Province",,
1964,Aug 2,Unnamed[6],ARVN operation,"7 km west ofTuy An,Phú Yên Province",,
1964,Aug 4,Unnamed[6],ARVN operation,17 km southeast ofGò Công,,
1964,Aug 5,Operation Pierce Arrow[8],US Navy airstrikes against North Vietnamese torpedo boat bases and POL facilities in response to theGulf of Tonkin Incident,"Hon Gai,Loc Chao,Quang Khe,Ben Thuy, andVinh",,1
1964,Aug 11 – 17,Operation Chinh Nghia[9],ARVN assault on a Viet Cong base area,III Corps,,
1964,Aug 12,Unnamed[6],ARVN operation,"30 km northeast ofLe Trung,Pleiku Province",,
1964,Aug 13,Operation Tu Cuong 124[6],ARVN operation,"5 km east ofDuc Pho,Quảng Ngãi Province",,
1964,Aug 15,Operation Dan Chi 54[6],ARVN operation,Thừa Thiên Province,,
1964,Aug 17,Operation Quyet Thang 606[6],ARVN operation,"43 km northwest ofCheo Reo,Phu Bon Province",,
1964,Aug 19 – 22,Operation Lien Lu 7[6],ARVN operation,11 km north ofTây Ninhcity,,
1964,Aug 20 – 29,Operation Thang Long 18[6],ARVN operation,"27 km northwest of Le Trung,Pleiku Province",,
1964,Aug 27 – 29,Operation Binh Thuan 39[6],ARVN operation,"11 km north ofMuong Man,Bình Thuận Province",,
