time,latitude,longitude,depth,mag,magType,nst,gap,dmin,rms,net,id,updated,place,type,horizontalError,depthError,magError,magNst,status,locationSource,magSource
2004-09-28T17:15:24.250Z,35.8181667,-120.366,8.136,5.97,mw,61,26,0.01622,0.04,nc,nc30228270,2017-04-26T18:02:57.037Z,"18km N of Shandon, California",earthquake,0.14,0.25,,4,reviewed,nc,nc
1987-10-01T14:42:20.020Z,34.061,-118.079,8.881,5.9,mw,0,44.4,,0.178,ci,ci731691,2018-06-04T20:43:45.000Z,"2km SSW of Rosemead, CA",earthquake,,0.023,,0,reviewed,ci,ci
1994-01-17T12:31:58.120Z,34.275,-118.493,5.317,5.89,ml,0,142.2,0.2557,0.494,ci,ci3149646,2016-02-12T12:06:08.216Z,"1km ENE of Granada Hills, California",earthquake,,,,4,reviewed,ci,ci
1991-06-28T14:43:54.660Z,34.27,-117.993,8.049,5.8,mw,0,14.3,,0.264,ci,ci2021449,2017-12-01T14:59:23.337Z,"13km NNE of Sierra Madre, CA",earthquake,,0.304,,0,reviewed,ci,ci
1999-10-16T09:59:35.390Z,34.6781667,-116.2895,13.906,5.77,ml,60,76,,0.35,ci,ci3320848,2017-04-26T17:56:24.624Z,"13km WSW of Ludlow, CA",earthquake,0.56,1.72,,270,reviewed,ci,ci
1992-06-28T12:00:45.000Z,34.131,-116.408,-1.1,5.77,ml,0,158.7,,0.194,ci,ci3043549,2016-02-09T20:35:36.058Z,"3km NE of Yucca Valley, California",earthquake,,2.73,,11,reviewed,ci,ci
1995-09-20T23:27:36.270Z,35.761,-117.638,4.688,5.75,ml,0,88.2,,0.195,ci,ci3231786,2017-06-01T16:23:56.609Z,"16km NNE of Ridgecrest, California",earthquake,,0.469,,37,reviewed,ci,ci
1981-04-26T12:09:28.290Z,33.0955,-115.6245,18.904,5.75,ml,81,34,,0.34,ci,ci514869,2018-06-04T20:43:45.000Z,"6km N of Westmorland, CA",earthquake,0.56,0.67,0.161,6,reviewed,ci,ci
2010-06-15T04:26:58.240Z,32.705,-115.9113333,8.756,5.71,mw,45,71,0.05832,0.2,ci,ci14745580,2019-04-22T20:26:27.710Z,"8km ESE of Ocotillo, CA",earthquake,0.41,0.83,,6,reviewed,ci,ci
1992-06-28T12:01:16.190Z,34.12,-116.323,5.706,5.7,ml,0,251.6,,0.224,ci,ci3043630,2016-02-10T00:17:57.350Z,"2km SSW of Joshua Tree, California",earthquake,,,,9,reviewed,ci,ci
1986-03-31T11:55:39.810Z,37.4791667,-121.6866667,8.502,5.7,ml,87,65,0.02703,0.06,nc,nc68932,2018-06-04T20:43:45.000Z,Northern California,earthquake,0.13,0.41,,6,reviewed,nc,nc
1992-06-29T14:08:37.730Z,34.105,-116.403,9.649,5.69,ml,0,89.3,,0.272,ci,ci3031935,2018-02-15T18:24:07.376Z,"3km ESE of Yucca Valley, California",earthquake,,0.801,,12,reviewed,ci,ci
1992-07-11T18:14:16.160Z,35.21,-118.067,9.564,5.67,ml,0,28.2,,0.178,ci,ci3041390,2017-04-26T17:46:53.330Z,"12km NW of California City, California",earthquake,,0.578,,15,reviewed,ci,ci
1999-10-16T09:59:38.000Z,34.24,-117.04,6,5.6,mb,,,,,ci,ci10180015,2017-02-08T15:24:10.483Z,"7km ENE of Running Springs, CA",earthquake,,,,0,reviewed,ci,ci
